epoch,beta,mse,epoch_time_sec
1,0.1,0,4.4593
2,0.109,0,4.29394
3,0.118,0,4.11677
4,0.127,0,4.0232
5,0.136,0,4.0257
6,0.145,0,4.02816
7,0.154,0,4.02016
8,0.163,0,4.02217
9,0.172,0,4.03647
10,0.181,0,4.024
11,0.19,0,4.02528
12,0.199,0,4.025
13,0.208,0,4.03415
14,0.217,0,4.02371
15,0.226,0,4.01718
16,0.235,0,4.03273
17,0.244,0,4.02685
18,0.253,0,4.03297
19,0.262,0,4.02783
20,0.271,0,4.0331
21,0.28,0,4.02172
22,0.289,0,4.02602
23,0.298,0,4.03157
24,0.307,0,4.02937
25,0.316,0,4.03047
26,0.325,0,4.03816
27,0.334,0,4.03687
28,0.343,0,4.03628
29,0.352,0,4.04195
30,0.361,0,4.04166
31,0.37,0,4.04152
32,0.379,0,4.05132
33,0.388,0,4.04455
34,0.397,0,4.04848
35,0.406,0,4.05188
36,0.415,0,4.04924
37,0.424,0,4.0457
38,0.433,0,4.05914
39,0.442,0,4.04664
40,0.451,0,4.05274
41,0.46,0,4.05914
42,0.469,0,4.05361
43,0.478,0,4.05103
44,0.487,0,4.05862
45,0.496,0,4.04987
46,0.505,0,4.05311
47,0.514,0,4.05621
48,0.523,0,4.05562
49,0.532,0,4.05364
50,0.541,0,4.05668
51,0.55,0,4.05041
52,0.559,0,4.0506
53,0.568,0,4.05694
54,0.577,0,4.0513
55,0.586,0,4.04732
56,0.595,0,4.05589
57,0.604,0,4.04635
58,0.613,0,4.04606
59,0.622,0,4.03776
60,0.631,0,4.04358
61,0.64,0,4.03525
62,0.649,0,4.0328
63,0.658,0,4.03669
64,0.667,0,4.03229
65,0.676,0,4.02701
66,0.685,0,4.03374
67,0.694,0,4.02613
68,0.703,0,4.02763
69,0.712,0,4.02994
70,0.721,0,4.02608
71,0.73,0,4.02056
72,0.739,0,4.01997
73,0.748,0,4.02338
74,0.757,0,4.03163
75,0.766,0,4.02569
76,0.775,0,4.02719
77,0.784,0,4.02173
78,0.793,0,4.0312
79,0.802,0,4.0255
80,0.811,0,4.02132
81,0.82,0,4.02727
82,0.829,0,4.02262
83,0.838,0,4.01609
84,0.847,0,4.02799
85,0.856,0,4.01909
86,0.865,0,4.0199
87,0.874,0,4.02089
88,0.883,0,4.01961
89,0.892,0,4.023
90,0.901,0,4.0215
91,0.91,0,4.01824
92,0.919,0,4.02808
93,0.928,0,4.01657
94,0.937,0,4.0241
95,0.946,0,4.01698
96,0.955,0,4.02182
97,0.964,0,4.02469
98,0.973,0,4.02034
99,0.982,0,4.01784
100,0.991,0,4.0239
